POSTING DATE,EFFECTIVE DATE,CREATE DATE,Customer/Vendor Code,Customer/Vendor Name,LOB,Region,BP TYPE,City,STATE,From WhsCode,From WhsName,To whsCode,TO WhsName,Model TYPE,Transfer Type,U_Frt,U_ActShipType,PRODUCT CATEGORY,ItemCode,QUANTITY,UNIT,RATE,SO ID,SO Creation Date,SO Due Date,U_DocStatus,NumAtCard,U_SOTYPE,BP CATEGORY,Document Type,Vehicle Type,Direct Dispatch,Comments,U_GRNNO,Loading/Unloading,Detention,KITITEM,U_AssetClass
06-12-2019,06-12-2019,06-12-2019,10002355,Cart Services Pvt. Ltd. _ Howrah _Uluberia  ESR Warehousing,FMCG,East,RENTAL,Howrah,West Bengal,WB01,Pallet Company India Kolkata,10002355,"Cart Services Pvt. Ltd. - Howrah (Uluberia, ESR Warehousing)",Allot,Pallet CompanyOUT,8500,Pallet Company Transport borne by customer,Wooden Pallet,A010000023,200,Nos,1950,2019/493,05-12-2019,05-12-2019,C,,Rent,Ecommerce,Allot,19ft Vehicle,N,191900083,,800,,,Wooden Pallet
06-12-2019,06-12-2019,06-12-2019,10002355,Cart Services Pvt. Ltd. _ Howrah _Uluberia  ESR Warehousing,FMCG,East,RENTAL,Howrah,West Bengal,WB01,Pallet Company India Kolkata,10002355,"Cart Services Pvt. Ltd. - Howrah (Uluberia, ESR Warehousing)",Allot,Pallet CompanyOUT,8500,Pallet Company Transport borne by customer,Wooden Pallet,A010000023,200,Nos,1950,2019/493,05-12-2019,05-12-2019,C,,Rent,Ecommerce,Allot,19ft Part Load,N,191900082,,800,,,Wooden Pallet
20-12-2019,20-12-2019,20-12-2019,10003155,Cart Services Pvt  Ltd  _ Gurgoan _Embassy Industrial,FMCG,North,RENTAL,Gurgaon,Haryana,HY01,Pallet Company India Pataudi,10003155,Cart Services Pvt. Ltd. - Gurgoan (Embassy Industrial),Allot,Pallet CompanyOUT,4500,Pallet Company Transport borne by customer,Wooden Pallet,A010000054,200,Nos,2599,2019/1133,20-12-2019,27-12-2019,C,,Rent,Ecommerce,Allot,32ft SXL,N,61900469,,0,,,Wooden Pallet
26-12-2019,26-12-2019,26-12-2019,10001155,Cart Services Pvt. Ltd. _ Gurgoan _ Tauru,FMCG,North,RENTAL,Gurgaon,Haryana,HY01,Pallet Company India Pataudi,10001155,Cart Services Pvt. Ltd. - Gurgoan ( Tauru),Allot,Pallet CompanyOUT,3500,Pallet Company Transport borne by customer,Wooden Pallet,A010000023,180,Nos,1950,2019/1309,26-12-2019,02-01-2020,C,,Rent,Ecommerce,Allot,19ft Vehicle,N,61900477,,0,,,Wooden Pallet
26-12-2019,26-12-2019,26-12-2019,10001155,Cart Services Pvt. Ltd. _ Gurgoan _ Tauru,FMCG,North,RENTAL,Gurgaon,Haryana,HY01,Pallet Company India Pataudi,10001155,Cart Services Pvt. Ltd. - Gurgoan ( Tauru),Allot,Pallet CompanyOUT,4500,Pallet Company Transport borne by customer,Wooden Pallet,A010000023,326,Nos,1950,2019/1309,26-12-2019,02-01-2020,C,,Rent,Ecommerce,Allot,32ft SXL,N,61900478,,0,,,Wooden Pallet
28-12-2019,28-12-2019,28-12-2019,10001155,Cart Services Pvt. Ltd. _ Gurgoan _ Tauru,FMCG,North,RENTAL,Gurgaon,Haryana,HY01,Pallet Company India Pataudi,10001155,Cart Services Pvt. Ltd. - Gurgoan ( Tauru),Allot,Pallet CompanyOUT,0,Pallet Company Transport borne by customer,Wooden Pallet,A010000023,494,Nos,1950,2019/1309,26-12-2019,02-01-2020,C,,Rent,Ecommerce,Allot,32ft MXL,N,61900564,,0,,,Wooden Pallet
07-02-2020,07-02-2020,07-02-2020,10001497,Cart Services Pvt. Ltd. _ Jhajjar _Flex Kulana FC,FMCG,North,RENTAL,Jhajjar,Haryana,KA02,Pallet Company India Bangalore-Hobli,10001497,Cart Services Pvt. Ltd. - Jhajjar (Flex Kulana FC),Allot,Pallet CompanyOUT,53500,Pallet Company Transport borne by customer,Wooden Pallet,A010000038,230,Nos,2890,2019/3204,04-02-2020,10-02-2020,C,,Rent,Ecommerce,Allot,32ft MXL,N,291900912,,0,,,Wooden Pallet
07-02-2020,07-02-2020,07-02-2020,10001497,Cart Services Pvt. Ltd. _ Jhajjar _Flex Kulana FC,FMCG,North,RENTAL,Jhajjar,Haryana,KA02,Pallet Company India Bangalore-Hobli,10001497,Cart Services Pvt. Ltd. - Jhajjar (Flex Kulana FC),Allot,Pallet CompanyOUT,53500,Pallet Company Transport borne by customer,Wooden Pallet,A010000038,230,Nos,2890,2019/3204,04-02-2020,10-02-2020,C,,Rent,Ecommerce,Allot,32ft MXL,N,291900914,,0,,,Wooden Pallet
08-02-2020,08-02-2020,08-02-2020,10001725,Cart Services Pvt. Ltd. _ Bhiwandi _WH B6and B8,FMCG,West,RENTAL,Bhiwandi,Maharashtra,MH03,Pallet Company India Bhiwandi,10001725,Cart Services Pvt. Ltd. - Bhiwandi (WH B6&B8),Allot,Pallet CompanyOUT,4000,Pallet Company Transport borne by customer,Wooden Pallet,A010000023,300,Nos,1950,2019/3450,08-02-2020,09-02-2020,C,,Rent,Ecommerce,Allot,32ft SXL,N,271902158,,,,,Wooden Pallet
17-02-2020,17-02-2020,17-02-2020,10001497,Cart Services Pvt. Ltd. _ Jhajjar _Flex Kulana FC,FMCG,North,RENTAL,Jhajjar,Haryana,HY01,Pallet Company India Pataudi,10001497,Cart Services Pvt. Ltd. - Jhajjar (Flex Kulana FC),Allot,Pallet CompanyOUT,62500,Pallet Company Transport borne by customer,Wooden Pallet,A010000038,230,Nos,2890,2019/3204,04-02-2020,10-02-2020,C,,Rent,Ecommerce,Allot,32ft MXL,Y,61901640,,0,,,Wooden Pallet
