POSTING DATE,EFFECTIVE DATE,CREATE DATE,TRANSFER IN EFFECTIVE DATE,Customer/Vendor Code,Customer/Vendor Name,LOB,Region,BP TYPE,City,STATE,From WhsCode,From WhsName,To whsCode,TO WhsName,Model TYPE,Transfer Type,U_Frt,U_ActShipType,PRODUCT CATEGORY,ItemCode,QUANTITY,UNIT,RATE,SO ID,SO Creation Date,SO Due Date,U_DocStatus,NumAtCard,U_SOTYPE,BP CATEGORY,Document Type,TRANSPORTER NAME,U_GRNNO,Loading/Unloading,Detention,U_AssetClass
04-12-2019,04-12-2019,04-12-2019,,10001548,Cart Services Pvt. Ltd. _ Bhiwandi _Antariksh Flex FC,FMCG,West,RENTAL,Bhiwandi,Maharashtra,10001548,Cart Services Pvt. Ltd. - Bhiwandi (Antariksh Flex FC),MH03,Pallet Company  India Bhiwandi,Return,Pallet Company IN,3000,Pallet Company  Transport borne by customer,Wooden Pallet,A010000003,-2,Nos,1500,,,,C,,,Ecommerce,Dehire Received,LOGISTICS TECK LLP,,1890,,Wooden Pallet
04-12-2019,04-12-2019,04-12-2019,,10001548,Cart Services Pvt. Ltd. _ Bhiwandi _Antariksh Flex FC,FMCG,West,RENTAL,Bhiwandi,Maharashtra,10001548,Cart Services Pvt. Ltd. - Bhiwandi (Antariksh Flex FC),MH03,Pallet Company  India Bhiwandi,Return,Pallet Company IN,3000,Pallet Company  Transport borne by customer,Wooden Pallet,A010000003,-2,Nos,1500,,,,C,,,Ecommerce,Dehire Received,LOGISTICS TECK LLP,,1890,,Wooden Pallet
04-12-2019,04-12-2019,04-12-2019,,10001548,Cart Services Pvt. Ltd. _ Bhiwandi _Antariksh Flex FC,FMCG,West,RENTAL,Bhiwandi,Maharashtra,10001548,Cart Services Pvt. Ltd. - Bhiwandi (Antariksh Flex FC),MH03,Pallet Company  India Bhiwandi,Return,Pallet Company IN,3000,Pallet Company  Transport borne by customer,Wooden Pallet,A010000003,-5,Nos,1500,,,,C,,,Ecommerce,Dehire Received,LOGISTICS TECK LLP,,1890,,Wooden Pallet
04-12-2019,04-12-2019,04-12-2019,,10001548,Cart Services Pvt. Ltd. _ Bhiwandi _Antariksh Flex FC,FMCG,West,RENTAL,Bhiwandi,Maharashtra,10001548,Cart Services Pvt. Ltd. - Bhiwandi (Antariksh Flex FC),MH03,Pallet Company  India Bhiwandi,Return,Pallet Company IN,3000,Pallet Company  Transport borne by customer,Wooden Pallet,A010000023,-179,Nos,1950,,,,C,,,Ecommerce,Dehire Received,LOGISTICS TECK LLP,,1890,,Wooden Pallet
04-12-2019,04-12-2019,04-12-2019,,10001548,Cart Services Pvt. Ltd. _ Bhiwandi _Antariksh Flex FC,FMCG,West,RENTAL,Bhiwandi,Maharashtra,10001548,Cart Services Pvt. Ltd. - Bhiwandi (Antariksh Flex FC),MH03,Pallet Company  India Bhiwandi,Return,Pallet Company IN,3000,Pallet Company  Transport borne by customer,Wooden Pallet,A010000023,-197,Nos,1950,,,,C,,,Ecommerce,Dehire Received,LOGISTICS TECK LLP,,1890,,Wooden Pallet
04-12-2019,04-12-2019,04-12-2019,,10001548,Cart Services Pvt. Ltd. _ Bhiwandi _Antariksh Flex FC,FMCG,West,RENTAL,Bhiwandi,Maharashtra,10001548,Cart Services Pvt. Ltd. - Bhiwandi (Antariksh Flex FC),MH03,Pallet Company  India Bhiwandi,Return,Pallet Company IN,3000,Pallet Company  Transport borne by customer,Wooden Pallet,A010000023,-195,Nos,1950,,,,C,,,Ecommerce,Dehire Received,LOGISTICS TECK LLP,,1890,,Wooden Pallet
04-12-2019,04-12-2019,04-12-2019,,10001548,Cart Services Pvt. Ltd. _ Bhiwandi _Antariksh Flex FC,FMCG,West,RENTAL,Bhiwandi,Maharashtra,10001548,Cart Services Pvt. Ltd. - Bhiwandi (Antariksh Flex FC),MH03,Pallet Company  India Bhiwandi,Return,Pallet Company IN,3000,Pallet Company  Transport borne by customer,Wooden Pallet,A010000003,-6,Nos,1500,,,,C,,,Ecommerce,Dehire Received,LOGISTICS TECK LLP,,1890,,Wooden Pallet
04-12-2019,04-12-2019,04-12-2019,,10001548,Cart Services Pvt. Ltd. _ Bhiwandi _Antariksh Flex FC,FMCG,West,RENTAL,Bhiwandi,Maharashtra,10001548,Cart Services Pvt. Ltd. - Bhiwandi (Antariksh Flex FC),MH03,Pallet Company  India Bhiwandi,Return,Pallet Company IN,3000,Pallet Company  Transport borne by customer,Wooden Pallet,A010000023,-194,Nos,1950,,,,C,,,Ecommerce,Dehire Received,LOGISTICS TECK LLP,,1890,,Wooden Pallet
04-12-2019,04-12-2019,04-12-2019,,10001548,Cart Services Pvt. Ltd. _ Bhiwandi _Antariksh Flex FC,FMCG,West,RENTAL,Bhiwandi,Maharashtra,10001548,Cart Services Pvt. Ltd. - Bhiwandi (Antariksh Flex FC),MH03,Pallet Company  India Bhiwandi,Return,Pallet Company IN,3000,Pallet Company  Transport borne by customer,Wooden Pallet,A010000023,-195,Nos,1950,,,,C,,,Ecommerce,Dehire Received,LOGISTICS TECK LLP,,1890,,Wooden Pallet
04-12-2019,04-12-2019,04-12-2019,,10001548,Cart Services Pvt. Ltd. _ Bhiwandi _Antariksh Flex FC,FMCG,West,RENTAL,Bhiwandi,Maharashtra,10001548,Cart Services Pvt. Ltd. - Bhiwandi (Antariksh Flex FC),MH03,Pallet Company  India Bhiwandi,Return,Pallet Company IN,3000,Pallet Company  Transport borne by customer,Wooden Pallet,A010000023,-190,Nos,1950,,,,C,,,Ecommerce,Dehire Received,Anish Transport,,1890,,Wooden Pallet
