POSTING DATE,QUANTITY
2021-01-10,-6474.642857142857
2021-01-17,-3503.0
2021-01-24,-2256.0
2021-01-31,-2818.0
2021-02-07,-5686.0
2021-02-14,-2274.0
2021-02-21,-5593.0
2021-02-28,-4762.0
2021-03-07,-930.0
2021-03-14,-1117.0
2021-03-21,-1777.0
2021-03-28,-1792.0
2021-04-04,-2981.0
2021-04-11,-2626.0
2021-04-18,-1536.0
2021-04-25,-3670.0
2021-05-02,-1351.0
2021-05-09,-1371.6666666666667
2021-05-16,-1392.3333333333333
2021-05-23,-1413.0
2021-05-30,-1221.0
2021-06-06,-1237.3333333333333
2021-06-13,-1253.6666666666667
2021-06-20,-1270.0
2021-06-27,-150.0
2021-07-04,-1800.0
2021-07-11,-966.0
2021-07-18,-1563.0
2021-07-25,-494.0
2021-08-01,-906.0
2021-08-08,-900.5
2021-08-15,-895.0
2021-08-22,-2359.0
2021-08-29,-1262.0
2021-09-05,-1654.0
2021-09-12,-1839.0
2021-09-19,-2700.0
2021-09-26,-763.0
2021-10-03,-2549.0
2021-10-10,-1281.0
2021-10-17,-1039.0
2021-10-24,-1321.0
2021-10-31,-4816.0
2021-11-07,-1159.0
2021-11-14,-4052.0
2021-11-21,-5621.0
2021-11-28,-3677.0
2021-12-05,-6474.642857142857
2021-12-12,-3315.0
2021-12-19,-6474.642857142857
2021-12-26,-6474.642857142857
2022-01-02,-6474.642857142857
2022-01-09,-3527.0
2022-01-16,-4995.0
2022-01-23,-5592.0
2022-01-30,-2615.0
2022-02-06,-4221.0
2022-02-13,-2022.0
2022-02-20,-1354.0
2022-02-27,-3555.0
2022-03-06,-5388.0
2022-03-13,-6474.642857142857
2022-03-20,-1524.0
2022-03-27,-5123.0
2022-04-03,-2929.0
2022-04-10,-1220.0
2022-04-17,-752.0
2022-04-24,-2540.0
2022-05-01,-3115.0
2022-05-08,-1148.0
2022-05-15,-561.0
2022-05-22,-1200.0
2022-05-29,-1912.0
2022-06-05,-280.0
2022-06-12,-1946.0
2022-06-19,-633.0
2022-06-26,-450.0
2022-07-03,-1212.0
2022-07-10,-1206.0
2022-07-17,-1200.0
2022-07-24,-1245.0
2022-07-31,-965.75
2022-08-07,-686.5
2022-08-14,-407.25
2022-08-21,-128.0
2022-08-28,-539.0
2022-09-04,-950.0
2022-09-11,-733.3333333333334
2022-09-18,-516.6666666666667
2022-09-25,-300.0
2022-10-02,-380.0
2022-10-09,-630.0
2022-10-16,-2089.0
2022-10-23,-2200.0
2022-10-30,-3257.0
2022-11-06,-3089.0
2022-11-13,-900.0
2022-11-20,-953.0
2022-11-27,-5499.0
2022-12-04,-2359.0
